Time,TM,RSRP,RSSI,UE_TX_Power,RSRQ,NodeB_RX
17:50:59.618,1,-82.1,-76.1,-3.2,-6.1,-100.9
17:51:00.098,1,-76.4,-71.9,-6.6,-4.4,-84.3
17:51:00.298,1,-79.8,-75.6,-7.8,-4.2,-99.4
17:51:00.798,1,-81.9,-75.5,-5.2,-6.4,-98.7
17:51:00.938,1,-81.7,-71.1,-6.6,-10.6,-93.2
17:51:01.158,1,-77.9,-68.3,-9.8,-9.6,-91.3
17:51:01.378,1,-79.7,-75.7,-7.8,-4,-100.2
17:51:01.880,1,-72.5,-68.2,-10.6,-4.2,-90.8
17:51:01.990,1,-82.8,-73.6,-6.4,-9.2,-89.1
17:51:02.290,1,-79,-74.2,-13.4,-4.9,-93.9
17:51:02.360,1,-76,-71.5,-11.8,-4.4,-90.3
17:51:02.598,1,-75.4,-65.1,-10.8,-10.3,-90.5
17:51:02.818,1,-81.8,-71.8,-7.6,-10,-96.9
17:51:02.960,1,-81.2,-73.5,-11.2,-7.7,-100
17:51:03.010,1,-75.5,-66.2,-11.2,-9.4,-89.5
17:51:03.070,1,-76.6,-72.8,-15.3,-3.8,-95.5
17:51:03.370,1,-75.9,-66.8,-15,-9.2,-88.8
17:51:03.440,1,-79.4,-72.8,-11.2,-6.6,-96.5
17:51:04.090,1,-73.7,-64.5,-10.4,-9.2,-85.8
17:51:04.150,1,-76.6,-67.8,-11.3,-8.8,-87.3
17:51:04.820,1,-73.3,-62.9,-22.8,-10.4,-91.6
17:51:04.880,1,-62.8,-59.2,-17.6,-3.5,-85.1
17:51:05.258,1,-68.6,-60.7,-22,-7.9,-91.8
17:51:05.338,1,-73.4,-64.6,-24,-8.8,-93.2
17:51:05.698,1,-76,-66.8,-23,-9.1,-99.8
17:51:05.778,1,-74.6,-70.8,-13.6,-3.8,-96.7
17:51:06.250,1,-66.4,-62.8,-24.3,-3.5,-90.8
17:51:06.610,1,-75.1,-69.2,-23.2,-5.9,-96.7
17:51:06.980,1,-69.1,-65.5,-14.2,-3.6,-87.6
17:51:07.040,1,-66.2,-63,-24.8,-3.2,-87.3
17:51:07.330,1,-70.2,-60.8,-23,-9.3,-88.1
17:51:07.390,1,-70.9,-67.8,-17.4,-3.1,-89.8
17:51:07.998,1,-68.9,-65.9,-13.6,-3,-91.2
17:51:08.258,1,-67.3,-59.5,-16.2,-7.8,-86.6
17:51:08.770,1,-71.2,-63.7,-19.4,-7.5,-95.8
17:51:08.830,1,-62.6,-55.5,-27,-7.1,-80.4
17:51:09.190,1,-68.7,-59.2,-21.2,-9.5,-88.5
17:51:09.490,1,-67.7,-62.1,-12.4,-5.6,-85.9
17:51:09.800,1,-63,-60.2,-14.6,-2.8,-85.4
17:51:09.910,1,-65.2,-61.2,-20.4,-4.1,-78
17:51:11.720,1,-64.7,-61.6,-16.6,-3.1,-83.5
17:51:12.010,1,-65.2,-61.5,-15.4,-3.7,-78.4
