RSRP,RSSI,UE_TX_Power,NodeB_RX,Predicted NB_RX
-71.8,-63.5,-24.8,-86.2,-89.16448899895319
-75.2,-68.0,-17.0,-91.8,-91.56016918739827
-71.9,-64.2,-19.8,-88.2,-88.58461829701858
-72.2,-67.2,-13.6,-86.7,-89.11262381629383
-75.3,-69.0,-15.8,-101.5,-91.91087967671801
-72.4,-65.9,-7.6,-91.9,-87.2782713987221
-69.6,-60.3,-6.2,-83.9,-82.68930765353662
-75.5,-66.6,-13.8,-90.1,-90.27952135777701
-70.8,-64.2,-17.0,-90.4,-87.53494760835328
-72.6,-64.4,-12.8,-81.0,-87.59199165951628
-78.5,-69.0,-12.8,-91.8,-92.71768946651888
-76.5,-67.1,-19.0,-88.1,-92.04314063394293
-80.7,-71.0,-13.0,-93.6,-94.82546795623018
-79.6,-69.2,-9.8,-94.9,-92.70785675485403
-78.1,-67.6,-8.2,-89.8,-90.84603892538586
-77.7,-67.9,-11.8,-88.3,-91.55985642349461
-79.0,-71.0,-14.0,-93.7,-94.27715803154038
-70.4,-60.8,-9.8,-82.6,-84.04216472811983
-77.1,-67.0,-17.0,-95.1,-91.84978597645856
-76.8,-65.3,-8.8,-89.5,-89.1319832028586
-74.1,-64.3,-15.2,-85.7,-88.68262357980234
-70.9,-63.0,-10.0,-87.9,-85.50974702884301
-75.3,-67.2,-8.6,-95.9,-89.47214822129537
-72.0,-63.8,-7.0,-89.5,-85.82901623430314
-66.5,-59.8,-11.6,-88.2,-82.13616641226693
-73.3,-65.2,-13.0,-83.2,-88.37989264318668
-70.9,-64.0,-17.2,-93.6,-87.50967592809903
-75.9,-63.5,-17.8,-89.0,-89.5619553784688
-79.5,-68.1,-10.3,-88.1,-92.16118511367549
-76.0,-68.3,-11.0,-91.9,-90.86809135087618
-74.1,-64.8,-15.2,-85.2,-88.95687517740647
-61.1,-53.7,-13.2,-78.3,-76.73081074839286
-64.9,-59.2,-22.8,-83.6,-83.35905256263918
-69.8,-63.3,-22.8,-86.6,-87.76938299084364
-69.3,-59.6,-20.3,-91.7,-85.01539601962612
-74.8,-65.8,-21.0,-91.1,-90.98336345882232
-73.4,-61.0,-24.2,-85.5,-88.37806411883889
-74.3,-59.2,-18.0,-83.9,-86.53792376983083
-73.1,-60.9,-21.8,-94.1,-87.70707049694397
-74.2,-61.3,-22.8,-88.6,-88.61328603768062
-66.2,-60.2,-17.4,-82.9,-83.39243699536384
-69.3,-63.2,-23.0,-84.3,-87.53429216139381
-65.7,-61.2,-25.0,-80.2,-85.25244276535884
-83.3,-71.8,-10.0,-95.9,-95.80641083348127
-87.8,-78.1,-2.8,-97.9,-99.79557627461864
-98.9,-80.8,0.8,-103.2,-105.44720722091036
-90.4,-77.2,6.5,-94.4,-98.57406622897389
-94.5,-81.7,-4.0,-99.4,-104.96756779537608
-86.4,-74.9,-2.5,-98.8,-97.36232788527857
-92.3,-82.0,4.5,-104.5,-102.44817535692212
-85.5,-74.8,7.5,-93.8,-94.89460432928352
-93.0,-73.4,1.5,-94.8,-98.64458963498662
-101.3,-75.0,-0.5,-105.7,-103.58662953790989
-95.8,-83.2,7.6,-100.7,-104.02536502499711
-98.3,-88.7,13.2,-107.6,-107.01603539292381
-98.8,-86.6,12.8,-103.4,-106.16537133491941
-98.1,-87.0,14.4,-104.3,-105.753452520823
-98.8,-85.0,12.6,-107.3,-105.32808360325417
-101.5,-88.2,15.8,-104.1,-107.62922834645654
-104.3,-89.6,11.0,-109.1,-110.59987414312309
-103.4,-86.2,11.0,-109.1,-108.33795907634038
-101.7,-91.1,8.2,-112.1,-110.84017123418305
-100.0,-88.8,11.4,-114.2,-108.18363896648636
-100.8,-88.9,9.8,-109.9,-108.91392095630631
-98.9,-87.9,10.4,-107.0,-107.40634563482548
-91.5,-83.5,8.8,-100.8,-102.05121384041752
-99.4,-88.6,14.8,-100.0,-107.12387338737244
-97.1,-85.7,8.8,-107.8,-105.72816924456204
-96.9,-86.1,14.0,-108.9,-104.81109546903875
-92.1,-83.2,12.0,-102.1,-101.50625425988353
-99.4,-85.7,7.2,-107.7,-107.06527458665215
-97.8,-86.3,10.0,-105.3,-106.12414792451484
-98.4,-82.7,9.2,-105.2,-104.57547541315341
-95.9,-83.8,12.2,-110.0,-103.47127876487767
-103.8,-88.2,13.1,-111.0,-109.1880792822206
-99.5,-85.0,15.1,-104.9,-105.13289739174003
-101.4,-87.8,15.8,-107.7,-107.36571549025382
-96.0,-84.6,12.2,-104.5,-103.95419289916367
-91.5,-84.8,13.1,-100.3,-101.89744430982643
-99.9,-87.0,14.2,-108.4,-106.58777830764016
-97.0,-83.2,7.9,-107.1,-104.49422789142791
-97.0,-84.0,11.6,-104.5,-104.18715890523667
-99.7,-87.4,6.9,-103.2,-108.19054082386641
-100.7,-86.2,15.2,-110.2,-106.30028147308877
-97.0,-85.4,9.8,-101.4,-105.3179198045402
-98.9,-85.8,15.5,-103.7,-105.22639571785429
-96.3,-84.8,7.5,-104.5,-105.14368671826135
-89.7,-78.6,9.2,-93.0,-98.48890501641179
-105.6,-83.8,18.2,-113.6,-106.54058042241954
-97.8,-82.3,11.8,-101.8,-103.5672787176698
-99.0,-83.9,14.8,-104.6,-104.36946205741594
-99.4,-83.2,11.6,-101.3,-104.80703422393563
-67.6,-63.9,-8.4,-81.7,-84.22517878124637
-53.8,-49.4,-22.4,-73.3,-73.00670131700883
-55.4,-52.1,-39.4,-84.3,-78.62042255076092
-64.6,-53.4,-27.2,-84.1,-80.93238167076879
-67.2,-61.3,-16.9,-81.9,-84.33611283961694
-80.8,-63.8,-22.0,-92.7,-92.73463865890966
-77.0,-62.7,-20.6,-87.3,-90.17282351096746
-68.2,-58.6,-19.0,-80.3,-83.71960249076251
-64.4,-55.6,-23.0,-86.1,-81.20420054996038
-69.7,-64.7,-25.0,-89.6,-88.93666707336375
-72.9,-67.1,-12.4,-90.2,-89.12465025960083
-64.9,-58.6,-12.2,-87.0,-80.89312947011061
-72.8,-63.6,-15.0,-86.8,-87.68490344693637
-82.8,-73.8,0.8,-96.9,-94.50572077722923
-80.3,-72.5,3.6,-91.0,-92.12543384112162
-86.0,-76.6,1.8,-102.9,-97.25151332029321
-95.7,-87.6,0.0,-106.6,-107.92672797117785
-87.7,-80.9,-2.0,-100.4,-101.12600412041044
-88.4,-80.1,3.6,-103.8,-99.86709595237582
-86.4,-77.1,2.4,-93.3,-97.58125908837097
